"Julian.Day","Depth","Simulated","Observed"
"2015-01-02","1",4.58,5.50333333333333
"2015-01-02","2",4.6,5.5
"2015-01-02","3",4.6,5.5
"2015-01-02","4",4.6,5.5
"2015-01-02","5",4.6,5.51
"2015-01-02","6",4.6,5.51
"2015-01-02","7",4.6,5.51
"2015-01-02","8",4.6,5.51
"2015-01-02","9",4.6,5.51
"2015-01-02","10",4.6,5.51
"2015-01-02","11",4.6,5.51
"2015-01-02","12",4.6,5.51
"2015-01-02","13",4.6,5.51
"2015-01-02","14",4.6,5.51
"2015-01-02","15",4.6,5.51
"2015-01-02","16",4.6,5.51
"2015-01-02","17",4.6,5.51
"2015-01-02","18",4.6,5.51
"2015-01-02","19",4.6,5.51
"2015-01-02","20",4.6,5.51
"2015-01-02","21",4.6,5.51
"2015-01-02","22",4.6,5.51
"2015-01-02","23",4.6,5.514
"2015-01-02","24",4.6,5.52
"2015-01-02","25",4.6,5.52
"2015-01-02","26",4.6,5.52
"2015-01-02","27",4.6,5.52
"2015-01-02","28",4.6,5.515
"2015-01-02","29",4.6,5.51
"2015-01-02","30",4.6,5.52
"2015-01-02","31",4.6,5.515
"2015-01-02","32",4.6,5.52
"2015-01-02","33",4.6,5.52
"2015-01-02","34",4.6,5.52
"2015-01-02","35",4.6,5.52
"2015-01-02","36",4.6,5.52
"2015-01-02","37",4.6,5.52
"2015-01-02","38",4.6,5.52
"2015-01-02","39",4.6,5.51
"2015-01-02","40",4.6,5.51
"2015-01-02","41",4.6,5.51
"2015-01-02","42",4.6,5.51
"2015-01-02","43",4.6,5.51
"2015-01-02","44",4.6,5.51
"2015-01-02","45",4.6,5.51
"2015-01-02","46",4.6,5.51
"2015-01-02","47",4.6,5.51
"2015-01-02","48",4.6,5.51
"2015-01-02","49",4.6,5.52
"2015-01-02","50",4.6,5.52
"2015-01-02","51",4.6,5.52
"2015-01-02","52",4.6,5.52
"2015-01-02","53",4.6,5.52
"2015-01-02","54",4.6,5.52
"2015-01-02","55",4.6,5.51
"2015-01-02","56",4.6,5.51
"2015-01-02","57",4.6,5.51
"2015-01-21","1",2.09,4.66857142857143
"2015-01-21","2",2.47,4.5925
"2015-01-21","3",2.88,4.53666666666667
"2015-01-21","4",2.96,4.5175
"2015-01-21","5",3.04,4.5075
"2015-01-21","6",3.08,4.5
"2015-01-21","7",3.12,4.5
"2015-01-21","8",3.16,4.5
"2015-01-21","9",3.21,4.5025
"2015-01-21","10",3.24,4.5
"2015-01-21","11",3.27,4.5
"2015-01-21","12",3.3,4.5
"2015-01-21","13",3.33,4.5075
"2015-01-21","14",3.36,4.5
"2015-01-21","15",3.39,4.49666666666667
"2015-01-21","16",3.41,4.49666666666667
"2015-01-21","17",3.44,4.49
"2015-01-21","18",3.47,4.49
"2015-01-21","19",3.5,4.48
"2015-01-21","20",3.53,4.48333333333333
"2015-01-21","21",3.56,4.48
"2015-01-21","22",3.59,4.48
"2015-01-21","23",3.61,4.48333333333333
"2015-01-21","24",3.63,4.48
"2015-01-21","25",3.65,4.48
"2015-01-21","26",3.66,4.49
"2015-01-21","27",3.67,4.49
"2015-01-21","28",3.68,4.4825
"2015-01-21","29",3.69,4.48
"2015-01-21","30",3.7,4.48
"2015-01-21","31",3.7,4.48
"2015-01-21","32",3.71,4.48
"2015-01-21","33",3.71,4.48
"2015-01-21","34",3.72,4.48
"2015-01-21","35",3.72,4.48
"2015-01-21","36",3.73,4.48
"2015-01-21","37",3.73,4.48
"2015-01-21","38",3.73,4.48
"2015-01-21","39",3.74,4.48
"2015-01-21","40",3.74,4.48
"2015-01-21","41",3.74,4.47666666666667
"2015-01-21","42",3.75,4.47666666666667
"2015-01-21","43",3.75,4.48
"2015-01-21","44",3.75,4.48
"2015-01-21","45",3.76,4.48
"2015-01-21","46",3.76,4.48
